НА:2026-09-11T23:59:59
"контрагент","1.1.Себестоимость продуктовая","1.9.Ремонт/Обслуживание производ.оборудования","2.4.Маркетинг","2.5.1.Расходы по реализации Прочие","2.5.6.Акция ФЗ","2Себестоимость (прочее)","3.3.1.Админ.расходы ПРОЧИЕ","3050 ВФП","4-Подотчет","5-Дебит.задолж.","7- Основные средства","99Главная касса","Авансы выданные","В/групповая реализация товаров и услуг","Выручка","Денежные средства","Доход от возмещение расходов на содержание гост.туалетов","Доходы прочие (аренда,ЧЛ и проч.)","Задолженность перед поставщиками","Зарплата","Касса Взаиморасчеты","Крафт Расходы","Кристал Каспии","Начисл БонусыП","Расчеты с гостями","Текущие расчеты с сотрудниками","Торговая выручка","Торговые кассы","ФЗ Жусан Банк","ФЗ Каспи","Цой Д.Л.Каспи","итого"
"1454",0,0,0,0,0,0,0,0,0,0,0,-812671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-812671
"147215",0,0,0,0,0,0,0,0,0,0,0,-884000,0,0,0,0,0,0,0,0,0,0,0,0,0,-126801,0,0,0,-286285,0,-1297086
"15",0,0,0,0,0,0,0,0,0,0,0,-5373232,0,0,0,0,0,0,0,1517389,0,0,0,0,0,0,0,0,0,-483627,0,-4339470
"154",0,0,0,0,0,0,0,0,0,0,0,-435933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-435933
"155",0,0,0,0,0,0,0,0,0,0,0,-238842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-160726,0,-399568
"15650",0,0,0,0,0,0,0,0,0,0,0,-2958523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1844275,0,-4802798
"16",0,0,0,0,0,0,0,0,0,0,0,-261402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-261402
"160425",0,0,0,0,0,0,0,0,0,0,0,-145056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107374,0,-252430
"162193",0,0,0,0,0,0,0,0,0,0,0,-293542,0,0,0,0,0,0,0,299999,0,0,0,0,0,0,0,0,0,0,0,6457
"16236",0,0,0,0,0,0,0,0,0,0,0,-56738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56738
"163",0,0,0,0,0,0,0,0,0,0,0,-105510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96110,0,-201620
"16587",0,0,0,0,0,0,0,0,0,0,0,-436700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98940,0,-535640
"167",0,0,0,0,0,0,0,0,0,0,0,-139520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45045,0,-184565
"1672",0,0,0,0,0,0,0,0,0,0,0,-445018,0,0,0,0,0,0,0,12750,0,0,0,0,0,0,0,0,0,0,0,-432268
"17",0,0,0,0,0,0,0,0,0,0,0,-4290523,0,0,0,0,0,0,0,2501462,0,0,0,0,0,0,0,0,0,-91878,0,-1880939
"173",0,0,0,0,0,0,0,0,0,0,0,-194341,0,0,0,0,0,0,0,0,0,0,0,0,0,-6392,0,0,0,0,0,-200733
"174",0,0,0,0,0,0,0,0,0,0,0,-233123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-341231,0,-574354
"17641",0,0,0,0,0,0,0,0,0,0,0,-4326047,0,0,0,0,0,0,0,234000,0,0,0,0,0,-73737,0,0,0,-3248924,0,-7414708
"17784",0,0,0,0,0,0,0,0,0,0,0,-36000,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0,0,0,0,0,-172996,0,0,0,0,0,0,0,260000,0,0,0,0,0,0,0,0,0,-79279,0,7725
"18",0,0,0,0,0,0,0,0,0,0,0,-3754251,0,0,0,0,0,0,0,0,0,0,0,0,0,-357498,0,0,0,-223333,0,-4335082
"18019",0,0,0,0,0,0,0,0,0,0,0,-133070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70000,0,-203070
"181",0,0,0,0,0,0,0,0,0,0,0,-94954,0,0,0,0,0,0,0,99000,0,0,0,0,0,0,0,0,0,0,0,4046
"18110843",0,0,0,0,0,0,0,0,0,0,0,-145531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-129639,0,-275170
